t_launch,launchFlag,yaw,pitch,roll,altitude,accel_x,accel_y,accel_z,TVCPitch,TVCYaw
6.291000,0,164.407303,61.926876,-61.025360,98.625519,0.020000,0.030000,-0.050000,0.000000,39.139999
8.334000,0,-147.505310,11.214979,-9.493819,99.716774,-0.220000,-0.140000,-0.860000,0.000000,0.000000
10.376000,0,93.845276,85.808189,-42.459095,98.205391,-0.040000,-0.470000,0.150000,0.000000,0.000000
12.410000,0,94.593552,85.803185,-47.501167,98.456413,0.050000,-0.170000,-0.010000,0.000000,0.000000
14.442000,0,94.690720,85.946823,-49.089855,98.625519,-0.150000,0.000000,0.150000,0.000000,0.000000
16.479000,0,94.683296,84.995872,-42.997898,98.540962,0.060000,-0.100000,-0.110000,0.000000,0.000000
18.517000,0,94.452972,85.494751,-44.576557,98.540962,-0.080000,-0.010000,-0.060000,0.000000,0.000000
5.308000,0,-105.620781,0.936700,-0.252245,99.130188,-0.020000,-0.020000,-0.290000,0.000000,39.139999
7.314000,0,-105.620781,0.936700,-0.252245,98.540962,-0.010000,-0.010000,-0.270000,0.000000,0.000000
9.319000,0,-105.620781,0.936700,-0.252245,98.456413,0.040000,-0.040000,-0.490000,0.000000,0.000000
0.048000,1,77.294052,2.512636,0.552990,97.616165,0.600000,-1.480000,1.370000,7.500000,7.500000
0.096000,1,106.680496,5.357854,-1.542055,98.205391,0.090000,-2.810000,0.050000,7.500000,-7.500000
0.143000,1,111.826050,7.638306,-2.854347,97.700722,-1.550000,-0.610000,0.110000,7.500000,-7.500000
0.191000,1,119.106140,7.651245,-3.738714,97.531616,-0.050000,0.990000,-0.610000,7.500000,-7.500000
0.238000,1,134.252289,4.937251,-3.449668,97.954376,-1.580000,2.230000,0.530000,7.500000,-7.500000
0.285000,1,154.396362,2.796804,-2.522573,98.120842,-1.050000,1.330000,0.020000,7.500000,-7.500000
0.332000,1,166.299805,2.816194,-2.736195,98.456413,-0.800000,7.300000,1.220000,7.500000,-7.500000
0.379000,1,174.056290,1.438719,-1.431013,98.540962,0.060000,5.240000,-1.050000,7.500000,-7.500000
0.426000,1,17.340578,2.413462,2.303952,98.710068,0.840000,-2.440000,0.880000,7.500000,7.500000
0.473000,1,10.954549,2.471084,2.426126,98.876534,0.640000,-3.830000,-0.880000,7.500000,7.500000
0.522000,1,-14.489105,3.998313,3.871537,98.876534,0.220000,-3.360000,-1.370000,7.500000,7.500000
0.572000,1,-27.698019,5.380518,4.766871,99.045639,0.250000,-2.300000,-0.790000,7.500000,7.500000
0.621000,1,-35.019852,6.067889,4.975445,98.540962,0.470000,-1.020000,-0.370000,7.500000,7.500000
0.671000,1,-39.282200,7.143996,5.541110,98.625519,0.060000,-1.220000,-0.080000,7.500000,7.500000
0.720000,1,-45.065067,7.634888,5.408577,99.130188,0.350000,-1.030000,-0.040000,7.500000,7.500000
0.768000,1,-56.754002,8.088400,4.454909,98.794624,0.620000,-1.360000,0.000000,7.500000,7.500000
0.815000,1,-69.327904,9.405795,3.346812,99.045639,1.110000,-1.310000,-0.750000,7.500000,7.500000
0.863000,1,-77.550667,11.211695,2.446768,99.465759,0.940000,-1.810000,-1.790000,7.500000,7.500000
0.912000,1,-83.570297,13.263448,1.512046,98.876534,1.160000,-0.720000,-1.260000,7.500000,7.500000
0.962000,1,-85.098671,15.288621,1.337927,99.214745,-0.190000,-0.230000,-2.020000,7.500000,7.500000
1.011000,1,-90.104126,16.271938,-0.030395,99.130188,-1.530000,1.170000,-2.080000,7.500000,7.500000
1.060000,1,-89.723946,14.153133,0.069610,98.540962,-2.600000,1.490000,-1.940000,7.500000,7.500000
1.108000,1,-89.938622,11.320964,0.012288,98.289948,-1.890000,2.450000,-0.410000,7.500000,7.500000
1.155000,1,-83.383194,6.836096,0.791435,98.374496,-1.020000,-0.460000,1.390000,7.500000,7.500000
1.204000,1,-93.919266,3.917866,-0.268209,97.954376,1.450000,0.160000,3.300000,7.500000,7.500000
1.253000,1,-168.016769,3.384429,-3.310799,100.726120,0.060000,2.150000,-0.300000,7.500000,7.500000
1.302000,1,-145.336548,3.750349,-3.086134,102.995834,1.210000,0.350000,0.090000,7.500000,7.500000
1.352000,1,-130.426010,3.973650,-2.579188,102.744820,-0.900000,0.320000,-0.130000,7.500000,7.500000
1.401000,1,-132.114441,3.365576,-2.258421,102.995834,-0.380000,-0.110000,-0.230000,7.500000,7.500000
