t_launch,launchFlag,yaw,pitch,roll,altitude,accel_x,accel_y,accel_z,TVCPitch,TVCYaw
6.016,0,162.484268,63.623379,-62.525536,108.885468,0.03,0.35,-0.19,0,0
8.018,0,163.015411,61.606651,-60.524296,109.221031,0.03,0.32,-0.01,0,0
10.062,0,163.336029,61.304893,-60.257511,108.885468,-0.06,0.02,0.1,0,0
12.104,0,168.08931,87.729553,-87.679764,109.390137,-0.29,0.06,1.06,0,0
14.106,0,168.463791,89.824097,-89.820465,108.885468,0.09,0.06,0.29,0,0
0.047,1,166.640244,88.162834,-88.111839,109.641159,-0.61,-0.59,-0.26,7.5,-7.5
0.096,1,167.067139,88.587723,-88.550995,109.136482,-0.18,-1.12,2.03,2.359079,-7.5
0.146,1,167.389862,90.745262,-90.763649,108.4627,0.09,-0.81,-0.03,-1.229683,-7.5
0.195,1,167.645187,91.558289,-91.595261,108.885468,0.33,0.95,-0.19,-2.602978,-7.5
0.244,1,167.792084,91.637794,-91.675766,108.885468,0.2,0.27,-0.15,-2.735785,-7.5
0.292,1,167.664734,91.520393,-91.55629,108.296242,0.07,0.16,-0.14,-2.571999,-7.5
0.339,1,167.85025,91.569412,-91.6054,109.221031,0.24,0.13,0.02,-2.689706,-7.5
0.387,1,167.992218,91.731026,-91.769676,108.380791,-0.14,0.81,0.25,-2.928318,-7.5
0.434,1,167.891586,91.359245,-91.390129,109.221031,-0.24,-0.19,0.17,-2.329515,-7.5
0.481,1,167.663864,90.622971,-90.637665,109.390137,-0.55,-0.71,0.19,-1.067665,-7.5
0.529,1,167.731522,90.529587,-90.541977,109.136482,-0.35,0.09,-0.21,-0.895885,-7.5
0.576,1,167.822479,90.687309,-90.703148,108.380791,0.24,0.05,0.11,-1.177931,-7.5
0.623,1,167.913284,90.832382,-90.85125,108.885468,-0.11,0.03,-0.18,-1.42656,-7.5
0.67,1,167.955109,90.858467,-90.877769,107.791565,-0.01,-0.08,0.27,-1.471267,-7.5
0.718,1,167.919067,90.719276,-90.735588,108.800911,0.22,-0.17,0.12,-1.216776,-7.5
0.768,1,167.974869,90.729744,-90.746063,108.380791,0.08,-0.2,-0.31,-1.204077,-7.5
0.817,1,168.000153,90.674019,-90.689034,108.716362,-0.1,0,0.27,-1.125887,-7.5
0.867,1,167.986923,90.455437,-90.46563,108.885468,-0.14,-0.01,0.24,-0.75147,-7.5
0.915,1,167.88739,90.404594,-90.413811,108.716362,-0.32,-0.15,0.01,-0.684439,-7.5
0.962,1,167.79187,90.240082,-90.245636,108.631805,-0.02,-0.06,0.14,-0.411459,-7.5
1.01,1,167.718018,90.117813,-90.12056,108.547256,0.27,-0.22,0.27,-0.199301,-7.5
1.059,1,167.781738,90.073051,-90.074738,108.716362,0.19,-0.1,0.1,-0.122026,-7.5
1.108,1,167.850555,90.172089,-90.176041,109.136482,0.21,-0.1,0.08,-0.287458,-7.5
1.157,1,167.972488,90.02282,-90.023323,109.136482,-0.13,-0.08,0.24,-0.038118,-7.5
1.206,1,168.003021,89.961174,-89.960304,108.716362,-0.17,-0.01,0.13,0.064855,-7.5
1.253,1,167.96785,89.893456,-89.89106,108.211685,-0.08,0.03,0.23,0.182599,-7.5
1.301,1,167.97049,89.860764,-89.857628,108.885468,-0.09,0.14,0.12,0.235542,-7.5
1.349,1,167.955811,89.864563,-89.861511,109.051926,-0.06,0.08,0.15,0.229114,-7.5
1.399,1,167.961166,89.601021,-89.592041,108.127136,0.05,-0.2,0.45,0.658315,-7.5
1.448,1,167.991455,89.489151,-89.477715,109.305588,0.07,0.05,0.2,0.853327,-7.5
1.498,1,167.966751,89.485367,-89.473778,108.296242,-0.04,0.15,0.15,0.849144,-7.5
1.545,1,167.940903,89.415855,-89.402649,108.885468,-0.01,0.09,0.19,1.001125,-7.5
1.592,1,167.866165,89.398636,-89.384895,108.04258,-0.09,-0.15,-0.05,1.030635,-7.5
1.64,1,167.806824,89.346382,-89.331238,108.4627,-0.12,0.17,0.31,1.105704,-7.5
1.687,1,167.808319,89.304001,-89.287933,108.800911,0.21,-0.11,0.53,1.192823,-7.5
1.734,1,167.867798,89.453308,-89.440819,107.876114,-0.15,0.21,-0.06,0.936938,-7.5
1.781,1,167.879272,89.420303,-89.407112,108.211685,-0.03,-0.02,0.36,0.993501,-7.5
1.83,1,167.872864,89.419838,-89.406609,108.296242,-0.25,0.3,0.34,0.969107,-7.5
1.877,1,167.870056,89.346199,-89.331245,108.885468,0,-0.2,0.08,1.120504,-7.5
1.924,1,167.853531,89.415146,-89.401711,108.380791,0,0.11,0.22,1.00234,-7.5
1.972,1,167.839676,89.496101,-89.48455,108.296242,0.01,0.08,0.12,0.852429,-7.5
2.021,1,167.857651,89.382172,-89.368019,108.970016,-0.04,0.05,0.19,1.032027,-7.5
2.071,1,167.85466,89.310837,-89.295082,108.380791,-0.01,0,0.25,1.137117,-7.5
2.12,1,167.873047,89.349403,-89.334564,108.631805,-0.01,-0.05,0.14,1.086765,-7.5
2.169,1,167.884079,89.306969,-89.291176,108.716362,-0.11,0.13,0.1,1.157645,-7.5
2.218,1,167.814102,89.116524,-89.09623,108.631805,0.07,-0.04,0.18,1.475765,-7.5
2.265,1,167.767715,89.022804,-89.00013,108.211685,0,-0.24,-0.08,1.674743,-7.5
2.312,1,167.821838,88.982613,-88.959198,108.296242,0.07,-0.02,0.28,1.74363,-7.5
2.361,1,167.866104,88.93853,-88.914322,108.127136,0.19,0.22,0.27,1.773088,-7.5
2.411,1,167.834076,88.813782,-88.786537,108.631805,-0.31,0.02,0.12,1.957261,-7.5
2.46,1,167.861404,88.842552,-88.816078,107.876114,0.16,-0.34,0.1,1.93341,-7.5
2.51,1,167.963501,89.105232,-89.085136,108.296242,0,0.28,0.05,1.476368,-7.5
2.557,1,167.983124,89.291779,-89.275917,108.380791,-0.15,0.02,-0.03,1.213772,-7.5
2.604,1,167.95668,89.334351,-89.319389,108.04258,-0.04,0.01,0.18,1.140807,-7.5
2.653,1,168.038635,89.405518,-89.392342,109.136482,0.3,-0.09,0.18,0.993028,-7.5
2.702,1,168.102509,89.637138,-89.629196,108.885468,-0.25,0.05,-0.1,0.606129,-7.5
2.751,1,168.171432,89.672005,-89.664902,109.136482,-0.1,0.28,0.18,0.547886,-7.5
2.801,1,168.213287,89.557884,-89.548386,108.631805,-0.41,-0.16,0.14,0.729489,-7.5
2.85,1,168.206131,89.55217,-89.542511,109.136482,0.34,0.19,-0.2,0.748061,-7.5
2.899,1,168.26265,89.617821,-89.60968,108.380791,0.03,0.04,0.12,0.638395,-7.5
2.946,1,168.415024,89.438164,-89.426445,108.4627,0.11,-0.01,0.63,0.96289,-7.5
2.993,1,168.450729,89.486565,-89.475967,108.970016,0.01,0.01,0.25,0.879942,-7.5
3.041,1,168.448547,89.451958,-89.440659,109.051926,-0.18,-0.02,0.12,0.927107,-7.5
3.088,1,168.517853,89.438774,-89.427284,108.380791,0.13,0,0.1,0.961843,-7.5
3.135,1,168.496429,89.290794,-89.276237,108.631805,-0.15,0.2,0.06,1.215459,-7.5
3.182,1,168.43425,89.032928,-89.012878,108.547256,-0.15,0.21,-0.01,1.657398,-7.5
3.229,1,168.277634,88.196114,-88.157608,108.4627,0.13,-0.09,0.23,3.091547,-7.5
3.276,1,168.031326,87.133255,-87.069672,108.800911,-0.03,-0.21,0.27,4.913117,-7.5
3.325,1,167.900818,86.438423,-86.357628,108.631805,0.34,-0.19,0.76,5.949285,-7.5
3.374,1,167.712677,86.917137,-86.845139,108.631805,-0.28,-0.39,0.13,5.149637,-7.5
3.423,1,167.801971,88.676689,-88.646126,108.970016,0.29,0.12,0.23,2.210469,-7.5
3.473,1,167.93718,90.066025,-90.067513,108.631805,-0.23,0.99,-1.04,-0.108941,-7.5
3.522,1,167.763077,88.648506,-88.617126,108.800911,0.11,-0.68,-0.04,2.257546,-7.5
3.571,1,167.79567,88.748947,-88.720062,108.4627,0.01,-0.14,0.39,2.089768,-7.5
3.618,1,167.857498,88.787827,-88.760117,108.631805,-0.22,-0.26,0.36,2.077461,-7.5
3.666,1,167.80394,88.492706,-88.457901,108.4627,0.32,-0.16,-0.01,2.549843,-7.5
3.715,1,167.885529,88.535736,-88.502426,108.716362,-0.04,-0.12,-0.68,2.445918,-7.5
3.764,1,168.037735,87.897018,-87.850471,108.547256,0.09,0.07,0.26,3.512836,-7.5
3.813,1,168.172302,88.159607,-88.119644,108.631805,0.11,0.38,-0.14,3.074207,-7.5
3.863,1,168.185196,88.188225,-88.149132,108.716362,-0.18,-0.31,0.1,2.989431,-7.5
3.911,1,168.407562,88.256409,-88.220039,108.716362,-0.04,0.16,0.04,2.949572,-7.5
3.958,1,168.610489,88.278893,-88.244415,108.885468,0.22,0.46,0.14,2.949688,-7.5
4.006,1,168.490112,88.157913,-88.120232,108.800911,-0.01,0.19,0.14,3.116193,-7.5
4.055,1,168.603271,88.1689,-88.132202,108.631805,-0.13,0.2,0.39,3.058693,-7.5
4.105,1,168.708313,88.027771,-87.988983,108.631805,0.01,-0.23,0.01,3.25417,-7.5
4.154,1,168.798584,87.960686,-87.921112,109.305588,-0.16,0.06,-0.01,3.406496,-7.5
4.203,1,168.811493,87.76857,-87.725357,108.800911,0.12,0.48,0.05,3.727387,-7.5
4.252,1,168.715942,87.581573,-87.534073,107.958031,-0.22,-0.37,0.36,4.03977,-7.5
4.299,1,168.814178,87.98159,-87.942566,108.800911,-0.05,0.18,0.25,3.459214,-7.5
4.347,1,168.88533,88.372971,-88.341904,108.800911,0.39,0.12,-0.3,2.752379,-7.5
4.394,1,168.841446,88.096878,-88.06031,108.380791,-0.24,-0.11,0.68,3.26163,-7.5
4.441,1,168.822189,87.90699,-87.86647,108.716362,0.03,-0.01,0.04,3.587066,-7.5
4.488,1,168.776489,87.549431,-87.501762,108.4627,-0.16,0.19,0.2,4.199862,-7.5
4.535,1,168.72168,87.357971,-87.305901,108.800911,-0.11,0.03,0.19,4.527992,-7.5
4.583,1,168.716949,87.064842,-87.007004,108.800911,0.25,-0.26,0.12,4.965287,-7.5
4.63,1,168.730438,86.766518,-86.703171,108.885468,-0.21,0.36,0.54,5.541644,-7.5
4.678,1,168.682602,86.825058,-86.762268,108.970016,-0.14,-0.06,-0.33,5.370954,-7.5
4.727,1,168.728012,86.709206,-86.644791,108.970016,0.01,0.12,0.07,5.496952,-7.5
4.776,1,168.728851,86.718658,-86.654137,108.716362,-0.09,0.11,-0.05,5.481194,-7.5
4.826,1,168.719101,86.447136,-86.377296,108.547256,0.01,-0.02,0.36,5.862212,-7.5
4.874,1,168.652557,86.474899,-86.404709,108.4627,0.11,-0.03,0.24,5.963306,-7.5
4.922,1,168.595596,86.608292,-86.540108,108.631805,0,0.07,0.21,5.73765,-7.5
4.969,1,168.482239,86.509323,-86.437569,108.380791,-0.1,0.4,0.43,5.982431,-7.5
5.018,1,168.356949,86.335136,-86.258202,108.716362,-0.23,-0.19,0.19,6.121798,-7.5
5.067,1,168.343658,86.180122,-86.100006,108.631805,0.15,0.18,-0.01,6.380772,-7.5
5.117,1,168.285599,85.912773,-85.826172,108.631805,-0.04,-0.06,0.32,6.743908,-7.5
5.166,1,168.224365,85.724709,-85.633072,109.051926,-0.18,0.17,0.24,7.141501,-7.5
5.214,1,168.12674,85.400429,-85.3004,109.136482,0.1,-0.03,0.23,7.5,-7.5
5.261,1,168.106781,85.200432,-85.095886,108.800911,-0.19,0.24,0.26,7.5,-7.5
5.309,1,168.231262,85.239525,-85.137817,109.051926,0.06,-0.2,0.27,7.5,-7.5
5.358,1,168.336365,85.71022,-85.620354,108.970016,-0.08,0.04,0.15,7.165702,-7.5
5.408,1,168.529572,86.404892,-86.331909,108.4627,-0.07,-0.02,-0.04,5.931914,-7.5
5.456,1,168.666016,86.593506,-86.525818,108.631805,-0.06,0.27,0.16,5.762663,-7.5
5.503,1,168.648422,86.378662,-86.30648,108.631805,0.17,0.23,-0.06,6.206363,-7.5
5.55,1,168.527679,86.135796,-86.057228,108.631805,-0.16,-0.05,0,6.622553,-7.5
5.597,1,168.407883,86.013626,-85.930901,108.631805,0.03,0.16,0.19,6.831972,-7.5
5.645,1,168.413269,86.090546,-86.0093,108.631805,-0.1,-0.19,0.18,6.613506,-7.5
5.692,1,168.370789,86.378075,-86.302559,108.380791,-0.04,0.14,0.13,6.207369,-7.5
5.739,1,168.339203,86.432724,-86.357727,108.547256,0.12,0.21,0.08,6.113709,-7.5
5.786,1,168.343719,86.696587,-86.627403,108.296242,0.15,-0.18,0.1,5.661493,-7.5
5.833,1,168.247238,86.815598,-86.747421,108.296242,-0.18,0.15,-0.03,5.457494,-7.5
5.881,1,168.1763,86.619667,-86.546654,108.631805,-0.18,0.12,0.07,5.718407,-7.5
5.93,1,168.104797,86.651939,-86.578499,108.380791,-0.12,-0.02,0.04,5.592643,-7.5
5.98,1,168.151199,86.727325,-86.656197,108.547256,-0.01,-0.01,0.14,5.3999,-7.5
6.029,1,168.247498,86.80452,-86.736343,108.380791,0.1,0.43,0.05,5.33777,-7.5
6.078,1,168.18898,86.519936,-86.445,108.547256,0.06,-0.08,0.14,5.813109,-7.5
6.128,1,168.16658,86.316925,-86.237366,108.211685,-0.01,-0.01,0.82,6.077095,-7.5
6.177,1,168.193558,86.296227,-86.216576,109.051926,-0.04,0.01,0.33,6.186793,-7.5
6.224,1,168.201462,86.305428,-86.226059,108.716362,-0.02,0.04,-0.16,6.331874,-7.5
6.272,1,168.249359,86.318321,-86.239655,108.547256,0.07,0.1,-0.06,6.228185,-7.5
6.321,1,168.268539,86.282394,-86.203384,109.051926,-0.11,0.24,-0.06,6.209898,-7.5
6.37,1,168.298355,86.11132,-86.028893,108.380791,-0.09,-0.34,0.61,6.495699,-7.5
6.419,1,168.43689,86.832283,-86.76683,108.4627,0.6,0.86,1.12,5.291363,-7.5
6.469,1,168.515091,87.172699,-87.11515,108.547256,0.22,-0.21,0.16,4.665063,-7.5
6.517,1,168.553833,87.144348,-87.086426,108.631805,-0.14,0.03,-0.12,4.830791,-7.5
6.564,1,168.571899,87.032928,-86.972954,108.716362,0.04,0.15,0.48,5.08506,-7.5
6.612,1,168.612305,87.048439,-86.98909,108.380791,-0.05,0.11,-0.28,4.993066,-7.5
6.661,1,168.641815,86.864388,-86.801956,108.296242,0.1,0.11,0.53,5.237766,-7.5
6.711,1,168.469437,86.680092,-86.611893,108.211685,0.07,-0.27,-0.24,5.477836,-7.5
6.76,1,168.47496,86.611069,-86.54158,107.876114,0.09,0.1,-0.15,5.66088,-7.5
6.809,1,168.558502,86.108322,-86.029694,108.127136,-0.01,0.09,0.44,6.500708,-7.5
6.858,1,168.469238,85.086678,-84.985931,108.296242,-0.1,-0.19,0.84,7.5,-7.5
6.905,1,168.508224,84.806824,-84.701096,108.380791,0.36,0.22,0.29,7.5,-7.5
6.952,1,168.513977,84.94001,-84.837013,108.631805,0.08,0.49,-0.28,7.5,-7.5
6.999,1,168.353516,83.962303,-83.83622,108.4627,0.06,-0.13,0.21,7.5,-7.5
7.046,1,168.234406,82.74334,-82.589256,107.876114,-0.06,0.53,0.48,7.5,-7.5
7.094,1,168.035721,81.932091,-81.755104,108.800911,0,0.07,0.71,7.5,-7.5
7.141,1,168.051544,81.911461,-81.734589,108.296242,0.08,-0.13,-0.06,7.5,-7.5
7.188,1,168.063766,82.101837,-81.929314,108.4627,-0.05,0.54,0.65,7.5,-7.5
7.235,1,168.166016,82.598335,-82.439682,108.716362,-0.13,0.2,0.94,7.5,-7.5
7.284,1,168.186661,82.459488,-82.298477,108.127136,0.22,0.26,-0.05,7.5,-7.5
7.333,1,168.023972,80.779243,-80.577904,108.631805,0.08,-0.26,0.14,7.5,-7.5
7.382,1,167.943008,79.578255,-79.348137,108.547256,-0.01,0.22,0.82,7.5,-7.5
7.432,1,167.87558,79.468536,-79.233429,108.547256,-0.13,0.02,0.54,7.5,-7.5
7.481,1,167.876663,79.947151,-79.723,108.800911,0.06,-0.13,-0.36,7.5,-7.5
7.53,1,167.79039,79.709091,-79.47583,108.296242,0.08,0.1,0.6,7.5,-7.5
7.577,1,167.779922,79.889366,-79.660065,108.800911,-0.32,-0.29,-0.28,7.5,-7.5
7.625,1,167.787277,79.953255,-79.725533,108.631805,0.05,0.41,0.53,7.5,-7.5
7.674,1,167.767532,80.451042,-80.233383,107.876114,-0.09,-0.27,0,7.5,-7.5
7.723,1,167.761765,80.524651,-80.308266,109.136482,0.2,0.26,0.35,7.5,-7.5
