t_launch,launchFlag,yaw,pitch,roll,altitude,accel_x,accel_y,accel_z,TVCPitch,TVCYaw
6.007000,0,0.000000,0.000000,0.000000,114.019402,0.000000,0.000000,0.000000,0.000000,0.000000
8.043000,0,0.000000,0.000000,0.000000,113.596642,0.000000,0.000000,0.000000,0.000000,0.000000
10.048000,0,0.000000,0.000000,0.000000,113.345627,0.000000,0.000000,0.000000,0.000000,0.000000
12.053000,0,0.000000,0.000000,0.000000,112.333633,0.000000,0.000000,0.000000,0.000000,0.000000
14.058000,0,0.000000,0.000000,0.000000,112.838310,0.000000,0.000000,0.000000,0.000000,0.000000
16.063000,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
18.068001,0,0.000000,0.000000,0.000000,112.502739,0.000000,0.000000,0.000000,0.000000,0.000000
20.073000,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
22.077999,0,0.000000,0.000000,0.000000,112.418182,0.000000,0.000000,0.000000,0.000000,0.000000
24.083000,0,0.000000,0.000000,0.000000,112.671844,0.000000,0.000000,0.000000,0.000000,0.000000
26.087999,0,0.000000,0.000000,0.000000,112.587288,0.000000,0.000000,0.000000,0.000000,0.000000
28.093000,0,0.000000,0.000000,0.000000,111.998062,0.000000,0.000000,0.000000,0.000000,0.000000
30.098000,0,0.000000,0.000000,0.000000,112.922859,0.000000,0.000000,0.000000,0.000000,0.000000
32.103001,0,0.000000,0.000000,0.000000,112.838310,0.000000,0.000000,0.000000,0.000000,0.000000
34.108002,0,0.000000,0.000000,0.000000,112.167168,0.000000,0.000000,0.000000,0.000000,0.000000
36.112999,0,0.000000,0.000000,0.000000,112.418182,0.000000,0.000000,0.000000,0.000000,0.000000
38.118000,0,0.000000,0.000000,0.000000,112.249077,0.000000,0.000000,0.000000,0.000000,0.000000
40.123001,0,0.000000,0.000000,0.000000,112.418182,0.000000,0.000000,0.000000,0.000000,0.000000
42.129002,0,0.000000,0.000000,0.000000,112.502739,0.000000,0.000000,0.000000,0.000000,0.000000
44.133999,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
46.139000,0,0.000000,0.000000,0.000000,112.838310,0.000000,0.000000,0.000000,0.000000,0.000000
48.144001,0,0.000000,0.000000,0.000000,112.587288,0.000000,0.000000,0.000000,0.000000,0.000000
50.148998,0,0.000000,0.000000,0.000000,112.502739,0.000000,0.000000,0.000000,0.000000,0.000000
52.153999,0,0.000000,0.000000,0.000000,112.502739,0.000000,0.000000,0.000000,0.000000,0.000000
54.159000,0,0.000000,0.000000,0.000000,112.418182,0.000000,0.000000,0.000000,0.000000,0.000000
56.164001,0,0.000000,0.000000,0.000000,112.502739,0.000000,0.000000,0.000000,0.000000,0.000000
58.168999,0,0.000000,0.000000,0.000000,112.922859,0.000000,0.000000,0.000000,0.000000,0.000000
60.174000,0,0.000000,0.000000,0.000000,112.838310,0.000000,0.000000,0.000000,0.000000,0.000000
62.179001,0,0.000000,0.000000,0.000000,112.502739,0.000000,0.000000,0.000000,0.000000,0.000000
64.183998,0,0.000000,0.000000,0.000000,112.922859,0.000000,0.000000,0.000000,0.000000,0.000000
66.189003,0,0.000000,0.000000,0.000000,112.587288,0.000000,0.000000,0.000000,0.000000,0.000000
68.194000,0,0.000000,0.000000,0.000000,113.176521,0.000000,0.000000,0.000000,0.000000,0.000000
70.197998,0,0.000000,0.000000,0.000000,113.176521,0.000000,0.000000,0.000000,0.000000,0.000000
72.203003,0,0.000000,0.000000,0.000000,112.922859,0.000000,0.000000,0.000000,0.000000,0.000000
74.208000,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
76.212997,0,0.000000,0.000000,0.000000,113.430176,0.000000,0.000000,0.000000,0.000000,0.000000
78.218002,0,0.000000,0.000000,0.000000,113.261070,0.000000,0.000000,0.000000,0.000000,0.000000
80.223000,0,0.000000,0.000000,0.000000,113.345627,0.000000,0.000000,0.000000,0.000000,0.000000
82.227997,0,0.000000,0.000000,0.000000,112.838310,0.000000,0.000000,0.000000,0.000000,0.000000
84.232002,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
86.237000,0,0.000000,0.000000,0.000000,113.512085,0.000000,0.000000,0.000000,0.000000,0.000000
88.241997,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
90.247002,0,0.000000,0.000000,0.000000,113.765747,0.000000,0.000000,0.000000,0.000000,0.000000
92.251999,0,0.000000,0.000000,0.000000,113.681190,0.000000,0.000000,0.000000,0.000000,0.000000
94.257004,0,0.000000,0.000000,0.000000,114.019402,0.000000,0.000000,0.000000,0.000000,0.000000
96.262001,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
98.266998,0,0.000000,0.000000,0.000000,113.596642,0.000000,0.000000,0.000000,0.000000,0.000000
100.272003,0,0.000000,0.000000,0.000000,113.345627,0.000000,0.000000,0.000000,0.000000,0.000000
102.277000,0,0.000000,0.000000,0.000000,113.176521,0.000000,0.000000,0.000000,0.000000,0.000000
104.281998,0,0.000000,0.000000,0.000000,113.934853,0.000000,0.000000,0.000000,0.000000,0.000000
106.286003,0,0.000000,0.000000,0.000000,113.765747,0.000000,0.000000,0.000000,0.000000,0.000000
108.292000,0,0.000000,0.000000,0.000000,113.007416,0.000000,0.000000,0.000000,0.000000,0.000000
110.296997,0,0.000000,0.000000,0.000000,113.596642,0.000000,0.000000,0.000000,0.000000,0.000000
112.302002,0,0.000000,0.000000,0.000000,113.596642,0.000000,0.000000,0.000000,0.000000,0.000000
114.306000,0,0.000000,0.000000,0.000000,114.019402,0.000000,0.000000,0.000000,0.000000,0.000000
116.311996,0,0.000000,0.000000,0.000000,113.596642,0.000000,0.000000,0.000000,0.000000,0.000000
118.316002,0,0.000000,0.000000,0.000000,113.512085,0.000000,0.000000,0.000000,0.000000,0.000000
120.321999,0,0.000000,0.000000,0.000000,113.091965,0.000000,0.000000,0.000000,0.000000,0.000000
122.327003,0,0.000000,0.000000,0.000000,114.019402,0.000000,0.000000,0.000000,0.000000,0.000000
124.331001,0,0.000000,0.000000,0.000000,113.681190,0.000000,0.000000,0.000000,0.000000,0.000000
126.335999,0,0.000000,0.000000,0.000000,114.185867,0.000000,0.000000,0.000000,0.000000,0.000000
128.341003,0,0.000000,0.000000,0.000000,114.185867,0.000000,0.000000,0.000000,0.000000,0.000000
130.345993,0,0.000000,0.000000,0.000000,114.775093,0.000000,0.000000,0.000000,0.000000,0.000000
132.350998,0,0.000000,0.000000,0.000000,113.934853,0.000000,0.000000,0.000000,0.000000,0.000000
134.356003,0,0.000000,0.000000,0.000000,114.439522,0.000000,0.000000,0.000000,0.000000,0.000000
